SIMRUN,TIMEINT,QUEUECOUNTER,QLEN,QLENMAX,QSTOPS
1,900-960,1,2.71,11.62,1
1,900-960,2,44.99,59.3,13
1,900-960,3,31.33,94.65,13
1,900-960,4,0.01,4.45,1
1,900-960,5,54.88,105.43,14
1,900-960,6,5.2,24.26,6
1,900-960,7,67.89,108.5,16
1,960-1020,1,6.37,17.97,4
1,960-1020,2,74.91,116.8,14
1,960-1020,3,8.46,44.1,6
1,960-1020,4,0.01,4.58,1
1,960-1020,5,14.55,36.9,6
1,960-1020,6,3.86,23.91,4
1,960-1020,7,63.82,93.66,17
1,1020-1080,1,12.29,30.28,6
1,1020-1080,2,86.68,115.9,16
1,1020-1080,3,9.67,51.89,10
1,1020-1080,4,4.94,23.85,4
1,1020-1080,5,16.14,41.39,6
1,1020-1080,6,29.88,64.48,9
1,1020-1080,7,59.61,93.6,17
1,1080-1140,1,7.93,36.58,8
1,1080-1140,2,37.72,112.83,14
1,1080-1140,3,25.46,72.46,11
1,1080-1140,4,0.77,11.2,2
1,1080-1140,5,30.79,71.99,8
1,1080-1140,6,18.15,46.18,7
1,1080-1140,7,55.2,93.28,17
1,1140-1200,1,23.81,43.13,9
1,1140-1200,2,62.35,106.05,15
1,1140-1200,3,12.5,38.92,17
1,1140-1200,4,2.65,17.72,3
1,1140-1200,5,44.11,97.33,13
1,1140-1200,6,6.97,25.6,6
1,1140-1200,7,37.6,65.66,7
1,1200-1260,1,19.31,46.1,16
1,1200-1260,2,80.48,105.23,17
1,1200-1260,3,45.27,106.34,20
1,1200-1260,4,0,0,0
1,1200-1260,5,66.65,135.12,21
1,1200-1260,6,4.34,12.3,2
1,1200-1260,7,20.9,38.17,5
1,1260-1320,1,30.37,74.8,16
1,1260-1320,2,71.35,98.39,11
1,1260-1320,3,49.08,85.86,14
1,1260-1320,4,14.42,62.28,10
1,1260-1320,5,46.98,125.39,10
1,1260-1320,6,6.98,18.89,4
1,1260-1320,7,25.39,63.03,17
1,1320-1380,1,46.76,133.54,17
1,1320-1380,2,49.98,74.41,10
1,1320-1380,3,63.91,147.58,18
1,1320-1380,4,8.04,36.02,4
1,1320-1380,5,58.4,140.14,20
1,1320-1380,6,10.46,31.31,5
1,1320-1380,7,57.5,77.43,30
1,1380-1440,1,13.54,38.04,6
1,1380-1440,2,84.88,121.85,12
1,1380-1440,3,65.8,148.86,27
1,1380-1440,4,1.35,18.09,3
1,1380-1440,5,118.86,140.03,9
1,1380-1440,6,22.5,50.24,8
1,1380-1440,7,50.96,77.98,22
1,1440-1500,1,7.28,20.42,6
1,1440-1500,2,123.87,154.21,26
1,1440-1500,3,85.99,147.23,28
1,1440-1500,4,2.06,10.91,2
1,1440-1500,5,48.47,123.44,16
1,1440-1500,6,3.83,12.38,4
1,1440-1500,7,31.94,61.72,17
1,1500-1560,1,8,20.85,6
1,1500-1560,2,122.56,153.37,19
1,1500-1560,3,72.66,146.72,16
1,1500-1560,4,0.24,8.32,1
1,1500-1560,5,26.37,96.1,12
1,1500-1560,6,13.78,30.69,5
1,1500-1560,7,13.38,36.36,12
1,1560-1620,1,12.45,30.59,6
1,1560-1620,2,99.83,134.43,25
1,1560-1620,3,48.1,103.38,21
1,1560-1620,4,4.36,24.96,4
1,1560-1620,5,23.9,54.94,12
1,1560-1620,6,6.21,18.12,4
1,1560-1620,7,19.05,43.55,7
1,1620-1680,1,13.38,45.69,18
1,1620-1680,2,136.43,158.49,29
1,1620-1680,3,22.53,57.74,15
1,1620-1680,4,7.2,23.83,3
1,1620-1680,5,56.29,138.01,19
1,1620-1680,6,10.76,25,7
1,1620-1680,7,14.63,33.27,8
1,1680-1740,1,41.09,81.09,18
1,1680-1740,2,139.9,165.59,25
1,1680-1740,3,41.86,107.06,26
1,1680-1740,4,5.23,27.35,4
1,1680-1740,5,69.91,139.92,13
1,1680-1740,6,0.2,5.85,2
1,1680-1740,7,33.05,84.77,17
1,1740-1800,1,11.11,39.36,12
1,1740-1800,2,86.62,139.61,18
1,1740-1800,3,60.78,113.99,12
1,1740-1800,4,0.96,26.45,0
1,1740-1800,5,19.79,56.56,9
1,1740-1800,6,12.46,37.86,6
1,1740-1800,7,5.67,25.87,7
1,1800-1860,1,11.88,44.05,5
1,1800-1860,2,45.62,64.28,9
1,1800-1860,3,30.74,66.99,9
1,1800-1860,4,0,0,0
1,1800-1860,5,17.68,54.17,6
1,1800-1860,6,21.27,37.04,11
1,1800-1860,7,7.5,17.8,5
1,1860-1920,1,14.91,42.38,2
1,1860-1920,2,32.67,52.71,8
1,1860-1920,3,36.5,129.1,15
1,1860-1920,4,0.02,4.9,1
1,1860-1920,5,12.27,36.61,5
1,1860-1920,6,18.66,69.36,7
1,1860-1920,7,30.14,58.78,14
1,1920-1980,1,1.55,11.84,1
1,1920-1980,2,31.11,53.17,9
1,1920-1980,3,58.74,127.79,12
1,1920-1980,4,0.67,12.68,1
1,1920-1980,5,8.55,38.25,7
1,1920-1980,6,51.54,69.08,11
1,1920-1980,7,22.91,44.3,9
1,1980-2040,1,6.37,30.5,9
1,1980-2040,2,27.57,45.4,9
1,1980-2040,3,39.58,123.51,17
1,1980-2040,4,0.05,4.87,1
1,1980-2040,5,33.51,93.05,13
1,1980-2040,6,45.29,68.17,10
1,1980-2040,7,7.47,30.98,8
1,2040-2100,1,8.19,20.36,6
1,2040-2100,2,19.28,37.2,7
1,2040-2100,3,94.57,147.15,19
1,2040-2100,4,0.8,12.27,2
1,2040-2100,5,41.45,109.06,16
1,2040-2100,6,47.24,62.23,8
1,2040-2100,7,61.3,104.67,27
1,2100-2160,1,4.65,18.38,4
1,2100-2160,2,24.65,45.19,11
1,2100-2160,3,142.34,147.42,24
1,2100-2160,4,1.41,11.71,2
1,2100-2160,5,58.15,112.93,17
1,2100-2160,6,56.5,70.18,14
1,2100-2160,7,64.11,97.31,23
1,2160-2220,1,6.9,30.6,6
1,2160-2220,2,23.43,33.6,5
1,2160-2220,3,136.1,147.41,19
1,2160-2220,4,2.28,16.45,2
1,2160-2220,5,70.5,139.52,19
1,2160-2220,6,62.11,89.53,16
1,2160-2220,7,58.37,89.42,11
1,2220-2280,1,0.8,10.35,2
1,2220-2280,2,11.97,22.13,2
1,2220-2280,3,23.86,147.33,12
1,2220-2280,4,10.89,39.76,6
1,2220-2280,5,105.51,139.52,6
1,2220-2280,6,46.13,75.5,8
1,2220-2280,7,65.79,98.18,15
1,2280-2340,1,6.13,20.26,2
1,2280-2340,2,5.74,13.71,2
1,2280-2340,3,17.38,63.4,11
1,2280-2340,4,1.73,17.89,3
1,2280-2340,5,22.21,45.98,6
1,2280-2340,6,27.53,57.52,9
1,2280-2340,7,40.84,76.4,13
1,2340-2400,1,0.77,5.79,2
1,2340-2400,2,34.82,57.18,9
1,2340-2400,3,28.68,77.26,10
1,2340-2400,4,0,0,0
1,2340-2400,5,4.36,18.88,3
1,2340-2400,6,64.23,101.35,19
1,2340-2400,7,28.85,51.15,9
1,2400-2460,1,14.67,72.94,11
1,2400-2460,2,15.84,24.49,5
